select title, length from sakila.film where length > 120

title	length
AFRICAN EGG	130
AGENT TRUMAN	169
ALAMO VIDEOTAPE	126
ALASKA PHANTOM	136
ALI FOREVER	150
ALLEY EVOLUTION	180
AMERICAN CIRCUS	129
ANALYZE HOOSIERS	181
ANONYMOUS HUMAN	179
ANTITRUST TOMATOES	168
APOLLO TEEN	153
ARACHNOPHOBIA ROLLERCOASTER	147
ARGONAUTS TOWN	127
ARIZONA BANG	121
ARMY FLINTSTONES	148
ARSENIC INDEPENDENCE	137
ARTIST COLDBLOODED	170
ATLANTIS CAUSE	170
BABY HALL	153
BADMAN DAWN	162
BAKED CLEOPATRA	182
BALLROOM MOCKINGBIRD	173
BAREFOOT MANCHURIAN	129
BEACH HEARTBREAKERS	122
BEAR GRACELAND	160
BEAUTY GREASE	175
BEETHOVEN EXORCIST	151
BETRAYED REAR	122
BIKINI BORROWERS	142
BINGO TALENTED	150
BIRCH ANTITRUST	162
BIRD INDEPENDENCE	163
BLANKET BEVERLY	148
BOOGIE AMELIE	121
BORN SPINAL	179
BRANNIGAN SUNRISE	121
BRAVEHEART HUMAN	176
BREAKFAST GOLDFINGER	123
BREAKING HOME	169
BRINGING HYSTERICAL	136
BROOKLYN DESERT	161
BUCKET BROTHERHOOD	133
BULL SHAWSHANK	125
CAMPUS REMEMBER	167
CANDLES GRAPES	135
CAPER MOTIONS	176
CAROL TEXAS	151
CASPER DRAGONFLY	163
CASUALTIES ENCINO	179
CATCH AMISTAD	183
CAUSE DATE	179
CENTER DINOSAUR	152
CHAPLIN LICENSE	146
CHICAGO NORTH	185
CHICKEN HELLFIGHTERS	122
CHILL LUCK	142
CHISUM BEHAVIOR	124
CHOCOLATE DUCK	132
CHRISTMAS MOONSHINE	150
CINCINATTI WHISPERER	143
CITIZEN SHREK	165
CLEOPATRA DEVIL	150
CLERKS ANGELS	164
CLOCKWORK PARADISE	143
CLONES PINOCCHIO	124
CLYDE THEORY	139
COLOR PHILADELPHIA	149
CONFIDENTIAL INTERVIEW	180
CONFUSED CANDLES	122
CONNECTICUT TRAMP	172
CONQUERER NUTS	173
CONSPIRACY SPIRIT	184
CONTACT ANONYMOUS	166
CONTROL ANTHEM	185
COWBOY DOOM	146
CRAZY HOME	136
CREATURES SHAKESPEARE	139
CREEPERS KANE	172
CROOKED FROGMEN	143
CROSSROADS CASUALTIES	153
CRYSTAL BREAKING	184
CURTAIN VIDEOTAPE	133
CYCLONE FAMILY	176
DADDY PITTSBURGH	161
DANCING FEVER	144
DANGEROUS UPTOWN	121
DARKO DORADO	130
DARLING BREAKING	165
DARN FORRESTER	185
DECEIVER BETRAYED	122
DETECTIVE VISION	143
DIRTY ACE	147
DISCIPLE MOTHER	141
DOGMA FAMILY	122
DONNIE ALLEY	125
DORADO NOTTING	139
DOUBLE WRATH	177
DOUBTFIRE LABYRINTH	154
DOZEN LION	177
DRACULA CRYSTAL	176
DRAGON SQUAD	170
DRAGONFLY STRANGERS	133
DREAM PICKUP	135
DRIVER ANNIE	159
DRIVING POLISH	175
DROP WATERFRONT	178
DUDE BLINDNESS	132
DUFFEL APOCALYPSE	171
DURHAM PANKY	154
DYING MAKER	168
DYNAMITE TARZAN	141
EAGLES PANKY	140
EASY GLADIATOR	148
EDGE KISSING	153
ELEPHANT TROJAN	126
ELF MURDER	155
ELIZABETH SHANE	152
EMPIRE MALKOVICH	177
ENCINO ELF	143
ENOUGH RAGING	158
ENTRAPMENT SATISFACTION	176
ESCAPE METROPOLIS	167
EVERYONE CRAFT	163
EVOLUTION ALTER	174
EXORCIST STING	167
