select film.film_id,film.title,language.name 
from sakila.film,sakila.language 
where (description like '%Documentary%') and (film.language_id=language.language_id)


film_id	title	name
4	AFFAIR PREJUDICE	English
5	AFRICAN EGG	English
41	ARSENIC INDEPENDENCE	English
52	BALLROOM MOCKINGBIRD	English
69	BEVERLY OUTLAW	English
75	BIRD INDEPENDENCE	English
80	BLANKET BEVERLY	English
83	BLUES INSTINCT	English
124	CASPER DRAGONFLY	English
130	CELEBRITY HORN	English
132	CHAINSAW UPTOWN	English
145	CHISUM BEHAVIOR	English
155	CLEOPATRA DEVIL	English
157	CLOCKWORK PARADISE	English
164	COAST RAINBOW	English
176	CONGENIALITY QUEST	English
178	CONNECTION MICROCOSMOS	English
182	CONTROL ANTHEM	English
187	CRANES RESERVOIR	English
192	CROSSING DIVORCE	English
193	CROSSROADS CASUALTIES	English
194	CROW GREASE	English
195	CROWDS TELEMARK	English
209	DARKNESS WAR	English
211	DARLING BREAKING	English
215	DAWN POND	English
216	DAY UNFAITHFUL	English
222	DESERT POSEIDON	English
228	DETECTIVE VISION	English
251	DRAGONFLY STRANGERS	English
256	DROP WATERFRONT	English
266	DYNAMITE TARZAN	English
274	EGG IGBY	English
292	EXCITEMENT EVE	English
301	FAMILY SWEET	English
302	FANTASIA PARK	English
316	FIRE WOLVES	English
329	FORREST SONS	English
333	FREAKY POCUS	English
338	FRISCO FORREST	English
343	FULL FLATLINERS	English
347	GAMES BOWFINGER	English
358	GILMORE BOILED	English
365	GOLD RIVER	English
409	HEARTBREAKERS BRIGHT	English
428	HOMICIDE PEACH	English
432	HOPE TOOTSIE	English
434	HORROR REIGN	English
445	HYDE DOCTOR	English
451	IGBY MAKER	English
463	INSTINCT AIRPORT	English
469	IRON MOON	English
485	JERSEY SASSY	English
493	KANE EXORCIST	English
547	MAGIC MALLRATS	English
549	MAGNOLIA FORRESTER	English
556	MALTESE HOPE	English
562	MASKED BUBBLE	English
566	MAUDE MOD	English
567	MEET CHOCOLATE	English
578	MILLION ACE	English
585	MOB DUFFEL	English
587	MOD SECRETARY	English
641	ORANGE GRAPES	English
645	OTHERS SOUP	English
654	PANKY SUBMARINE	English
662	PATHS CONTROL	English
665	PATTON INTERVIEW	English
670	PELICAN COMFORTS	English
675	PHANTOM GLORY	English
678	PICKUP DRIVING	English
697	PRIMARY GLASS	English
704	PURE RUNNER	English
715	RANGE MOONWALKER	English
720	REDEMPTION COMFORTS	English
728	REUNION WITCHES	English
751	RUNAWAY TENENBAUMS	English
752	RUNNER MADIGAN	English
761	SANTA PARIS	English
762	SASSY PACKER	English
771	SCORPION APOLLO	English
772	SEA VIRGIN	English
799	SIMON NORTH	English
813	SMOOCHY CONTROL	English
819	SONG HEDWIG	English
823	SOUTH WAIT	English
835	SPY MILE	English
871	SWEDEN SHINING	English
887	THIEF PELICAN	English
896	TOOTSIE PILOT	English
900	TOWN ARK	English
923	UNFAITHFUL KILL	English
926	UNTOUCHABLES SUNRISE	English
928	UPTOWN YOUNG	English
932	VALLEY PACKER	English
944	VIRGIN DAISY	English
947	VISION TORQUE	English
964	WATERFRONT DELIVERANCE	English
967	WEEKEND PERSONAL	English
982	WOMEN DORADO	English
983	WON DARES	English
